   1    1  9.5173618569838290E-07 5.7250019999657098E-01 1.3301931146665419E-01 1.4774165110010679E-01
   1    2  0.0000000000000000E+00 3.9036671554358449E-01 1.3932883885629815E-01 9.1345122937462511E-02
   1    3  1.6674419693703561E-05 1.3586321966210377E+00 3.5692972204351109E-01 3.2946696760075833E-01
   1    4  0.0000000000000000E+00 9.1708180166916287E-01 4.0059425649794600E-01 2.5739242166579451E-01
   1    5  4.2848078040861101E-29 6.0826609822987763E-03 8.8331994092974680E-04 1.4989091862904790E-03
   1    6  0.0000000000000000E+00 1.1113798861366029E-03 4.2789707692139082E-05 4.6188439974327091E-05
   1    7  6.6065430256403120E-23 1.9408345537056587E-01 3.4611374319390299E-02 5.2056166374330921E-02
   1    8  0.0000000000000000E+00 7.5604100319888526E-02 6.7560486737400479E-03 5.7656110364029079E-03
   1    9  1.3911546423862711E-112 1.9387998121869553E-09 6.2714295848162954E-11 1.6468703333518035E-10
   1   10  0.0000000000000000E+00 3.3705434071107469E-13 1.6823144698213435E-16 7.0657077996845919E-15
   1   11  7.3196684070312050E-88 1.1670668319671428E-03 7.6488651180866231E-05 1.6758536175018091E-04
   1   12  0.0000000000000000E+00 7.0050077982652056E-06 8.2146715164347278E-09 1.4733974653654635E-07
   1   13  8.2088453729783282E-13 4.8048504674094147E-02 3.3256564586802667E-03 6.9033535940746585E-03
   1   14  0.0000000000000000E+00 2.4014716560244811E-02 4.2296937260016890E-03 4.2919669860266435E-03
   1   15  0.0000000000000000E+00 1.4080336820372848E-02 1.7485212265270431E-03 1.8451137420267352E-03
   1   16  2.2058187529172504E-12 1.0277123124122134E-01 8.5604017785851413E-03 1.4222144438164793E-02
   1   17  0.0000000000000000E+00 8.2500838870441087E-02 2.1025070768333751E-02 1.8383424961115700E-02
   1   18  0.0000000000000000E+00 1.0849581822570502E-02 1.3215985436176559E-03 1.7080858357838020E-03
   1   19  4.4296891568941406E-14 1.6786184823567786E-02 6.3710048910486949E-04 2.1054536275805580E-03
   1   20  0.0000000000000000E+00 3.4364399900528825E-03 3.7276342325100919E-04 7.3337984517746245E-04
   1   21  0.0000000000000000E+00 7.2127943806680715E-03 6.4504065827256931E-04 6.2103297671817139E-04
   1   22  1.1498123825183250E-12 5.4359681720076707E-02 5.0855597783062718E-03 9.4594057276608974E-03
   1   23  0.0000000000000000E+00 4.5235946949871861E-02 1.3742516396912940E-02 1.1777085926761506E-02
   1   24  0.0000000000000000E+00 2.5385490444588808E-03 3.4258120859525848E-04 4.3031490134879107E-04
   1   25  1.3796077231960549E-42 3.5189368450337750E-06 1.0894217536638145E-08 1.3208012078969074E-07
   1   26  0.0000000000000000E+00 1.6090175523665588E-07 1.6611855131446129E-09 1.1925653292332481E-08
   1   27  0.0000000000000000E+00 2.8903694484907941E-09 1.8867717119748015E-11 1.1634913618863228E-10
