4.9372041369885693E+01 a         1     0     1     1     1
-1.2003946762170366E+02 a         2     0     1     1     2
-4.4074635413592205E+01 a         3     0     1     1     3
2.0205358166234444E+02 a         4     0     1     1     4
5.5556695311035594E+02 a         5     0     1     1     5
1.4854765806239314E+02 a         6     0     1     1     6
-2.2661219315573265E+02 a         7     0     1     1     7
-7.8935362549513070E+02 a         8     0     1     1     8
2.2444923567625754E+01 a         9     0     1     1     9
1.7917139965136587E+02 a        10     0     1     1    10
-4.0347073516346668E+01 a        11     0     1     1    11
-2.7281871595382672E+01 a        12     0     1     1    12
8.9457310294248856E+01 a        13     0     1     1    13
-4.6556596451149807E+02 a        14     0     1     1    14
1.2739841975628771E+02 a        15     0     1     1    15
-4.7126247991246845E+02 a        16     0     1     1    16
4.9744703430789059E+01 a        17     0     2     1     1
-9.9874282681504667E+01 a        18     0     2     1     2
-1.0056398411888908E+02 a        19     0     2     1     3
7.6647429763929964E+01 a        20     0     2     1     4
1.4849317724471862E+02 a        21     0     2     1     5
-8.1980300223800398E+01 a        22     0     2     1     6
2.2132821433983881E+02 a        23     0     2     1     7
1.8168830029133983E+02 a        24     0     2     1     8
-9.8607464218728339E+01 a        25     0     2     1     9
-2.1677628755506086E+02 a        26     0     2     1    10
5.6487897825465006E+02 a        27     0     2     1    11
1.7199166504970396E+01 a        28     0     2     1    12
1.9919259309832927E+02 a        29     0     2     1    13
3.4786657410511253E+02 a        30     0     2     1    14
-1.3758397591875510E+02 a        31     0     2     1    15
2.1419952928268557E+01 a        32     0     2     1    16
4.2141181732383347E+02 a        33     0     3     1     1
-2.4666195489013748E+02 a        34     0     3     1     2
6.3041967427519762E+02 a        35     0     3     1     3
9.7722319258401285E+01 a        36     0     3     1     4
-1.3368616886783744E+02 a        37     0     3     1     5
-5.3890233525113558E+02 a        38     0     3     1     6
7.2284321079266888E+01 a        39     0     3     1     7
-6.5480637997980324E+01 a        40     0     3     1     8
-5.7421757383176661E+01 a        41     0     3     1     9
3.5942826842951365E+02 a        42     0     3     1    10
-1.8027601050524414E+01 a        43     0     3     1    11
1.5797181948180491E+02 a        44     0     3     1    12
-4.0443246104633950E+00 a        45     0     3     1    13
1.9170611258028148E+02 a        46     0     3     1    14
-5.3438761220321439E+01 a        47     0     3     1    15
1.2318726627752493E+02 a        48     0     3     1    16
1.5851724513010382E+02 a        49     0     4     1     1
-5.4024846470484022E+01 a        50     0     4     1     2
8.8152888494791455E+02 a        51     0     4     1     3
2.0680381907175192E+02 a        52     0     4     1     4
-2.7487109390517514E+01 a        53     0     4     1     5
-8.0814330167827478E+01 a        54     0     4     1     6
2.6482986880621489E+01 a        55     0     4     1     7
-1.0877509337116421E+03 a        56     0     4     1     8
1.1262115594872363E+02 a        57     0     4     1     9
3.5374371569616596E+02 a        58     0     4     1    10
-4.5345051080172163E+02 a        59     0     4     1    11
-5.8923119914752085E+01 a        60     0     4     1    12
1.7748496323251199E+01 a        61     0     4     1    13
-4.0121792718456970E+02 a        62     0     4     1    14
1.9339390990569058E+01 a        63     0     4     1    15
-8.1644023103646489E+01 a        64     0     4     1    16
3.0843877356887242E+02 a        65     0     5     1     1
1.9389299493435519E+02 a        66     0     5     1     2
2.4801756141668017E+02 a        67     0     5     1     3
3.5072973188436350E+01 a        68     0     5     1     4
6.1665727573807516E-01 a        69     0     5     1     5
-1.1048441096401713E+02 a        70     0     5     1     6
1.7400341450657763E+02 a        71     0     5     1     7
1.3352855484343627E+02 a        72     0     5     1     8
-7.3238809247239246E+01 a        73     0     5     1     9
-3.9866478542068236E+01 a        74     0     5     1    10
2.0635460829569958E+01 a        75     0     5     1    11
-8.7734390330098847E+01 a        76     0     5     1    12
-1.2091557432879160E+01 a        77     0     5     1    13
-1.4198820936662548E+02 a        78     0     5     1    14
7.0352702685831519E+00 a        79     0     5     1    15
3.7691965541806809E+01 a        80     0     5     1    16
1.5725072675990285E+02 a        81     0     6     1     1
-2.5313507779506590E+01 a        82     0     6     1     2
2.4481503015148528E+03 a        83     0     6     1     3
3.6973420411540769E+02 a        84     0     6     1     4
8.7682384279593279E+01 a        85     0     6     1     5
-1.9147874274984085E+02 a        86     0     6     1     6
1.9744286167225724E+02 a        87     0     6     1     7
-2.9918103937291789E+03 a        88     0     6     1     8
2.4364606502089399E+02 a        89     0     6     1     9
-1.0596741013798702E+02 a        90     0     6     1    10
-5.2311331449078330E+02 a        91     0     6     1    11
-5.1593725324721424E+02 a        92     0     6     1    12
-7.1955700894182414E+01 a        93     0     6     1    13
-3.4061877153886121E+02 a        94     0     6     1    14
5.1282391939042077E+02 a        95     0     6     1    15
1.9205856998356108E+01 a        96     0     6     1    16
1.2977202058219922E+02 a        97     0     7     1     1
3.4482675162489642E+01 a        98     0     7     1     2
1.4602119246900202E+02 a        99     0     7     1     3
1.7357858418398854E+02 a       100     0     7     1     4
-1.7507665565830004E+02 a       101     0     7     1     5
1.8370935257183800E+02 a       102     0     7     1     6
1.3559898125973132E+02 a       103     0     7     1     7
-2.1792745341918462E+02 a       104     0     7     1     8
-2.6185715417184696E+01 a       105     0     7     1     9
1.7548348180187622E+02 a       106     0     7     1    10
1.4089802774796604E+02 a       107     0     7     1    11
-3.0026182645610419E+02 a       108     0     7     1    12
-4.6055498649093626E-02 a       109     0     7     1    13
1.0405368735327416E+02 a       110     0     7     1    14
2.5407336200616464E+02 a       111     0     7     1    15
-4.7336652014860402E+02 a       112     0     7     1    16
6.6822268398158656E+01 a       113     0     8     1     1
-5.0344901462540733E+01 a       114     0     8     1     2
-9.3145843666882712E+01 a       115     0     8     1     3
1.3591207692130783E+02 a       116     0     8     1     4
3.7369262367111878E+02 a       117     0     8     1     5
-1.1386403927142499E+02 a       118     0     8     1     6
-1.0681338606191409E+02 a       119     0     8     1     7
-3.9350551308720264E+02 a       120     0     8     1     8
-7.4302912965393304E+01 a       121     0     8     1     9
-3.3314829058690424E+02 a       122     0     8     1    10
7.3719250452549048E+01 a       123     0     8     1    11
-3.4191440543296369E+02 a       124     0     8     1    12
5.4377357621483227E+01 a       125     0     8     1    13
-2.0623191556540729E+02 a       126     0     8     1    14
1.9467017380083669E+02 a       127     0     8     1    15
-1.3473803772014830E+02 a       128     0     8     1    16
-5.4608361078765051E+02 a       129     0     9     1     1
-1.1799499830368248E+02 a       130     0     9     1     2
-2.2511696419580852E+02 a       131     0     9     1     3
-7.8377652027207844E+01 a       132     0     9     1     4
-3.2506540589143219E+02 a       133     0     9     1     5
7.2835777096195491E+00 a       134     0     9     1     6
-3.2306917857385014E+02 a       135     0     9     1     7
6.3619429894745188E+01 a       136     0     9     1     8
8.9375746682279640E+01 a       137     0     9     1     9
-2.8973721411212904E+02 a       138     0     9     1    10
-1.0429161919696898E+02 a       139     0     9     1    11
3.0156490924821918E+02 a       140     0     9     1    12
-9.6660788490095797E+01 a       141     0     9     1    13
8.0250453019972909E+01 a       142     0     9     1    14
-1.8202039724009535E+02 a       143     0     9     1    15
5.0005711388841991E+02 a       144     0     9     1    16
7.7054538338244294E+00 a       145     0    10     1     1
-9.5377783992865961E+00 a       146     0    10     1     2
5.1235958533348867E+02 a       147     0    10     1     3
2.1066194291708840E+01 a       148     0    10     1     4
-6.2478305187588701E+00 a       149     0    10     1     5
-8.2170671510967654E+00 a       150     0    10     1     6
4.0752230222232617E+00 a       151     0    10     1     7
-5.8658024858261365E+02 a       152     0    10     1     8
2.2281460122443082E+01 a       153     0    10     1     9
1.6460892959281914E+00 a       154     0    10     1    10
-2.8212240613767115E+01 a       155     0    10     1    11
-1.9829221672351395E+01 a       156     0    10     1    12
-1.1717255240257238E+01 a       157     0    10     1    13
9.8062832046909243E+00 a       158     0    10     1    14
2.7092648867152299E+01 a       159     0    10     1    15
2.3816885571087358E+01 a       160     0    10     1    16
5.4878870531223654E+01 a       161     0    11     1     1
1.8758481771191835E+01 a       162     0    11     1     2
-2.8527013145063245E+02 a       163     0    11     1     3
-3.9257555403943627E+01 a       164     0    11     1     4
2.4884233418232000E+02 a       165     0    11     1     5
4.0509323479283616E+01 a       166     0    11     1     6
-2.1474631654605810E+02 a       167     0    11     1     7
1.0677565848387987E+02 a       168     0    11     1     8
1.0628098787381241E+02 a       169     0    11     1     9
-1.4832076183342198E+02 a       170     0    11     1    10
-1.9468973035677462E+02 a       171     0    11     1    11
